zemlja,ulazak,opis,azurirano
Devičanska ostrva SAD (U.S. Virgin Islands),✅," zahtevaju od svih putnika starijih od 5 godina da u roku od pet dana pre puta posredstvom Portala za kontrolu putnika (U.S. Virgin Islands Travel Screening Portal <a href=""https://usvitravelportal.com/"">https://usvitravelportal.com/</a>) predaju rezultate testa na COVID-19. Od putnika se traži da poseduju negativan PCR ili antigen (Rapid) test, ne stariji od 5 dana, odnosno pozitivan test na antitela, ne stariji od 4 meseca. Original testa putnik mora imati kod sebe prilikom dolaska. Putnici koji ne poseduju test upućuju se u obavezni 14-dnevni karantin, uz mogućnost da po dolasku na ostrva o svom trošku urade test i, u slučaju da je rezultat testa negativan, prekinu karantin.

",05.01.2021.
SAUDIJSKA ARABIJA,❌,"
Državljani Srbije ne mogu da uđu u Saudijsku Arabiju. Sve granice su zatvorene.

",05.01.2021.
SVETA LUCIJA,✅🧪,"
Državljanima Srbije je dozvoljen ulazak u zemlju ukoliko poseduju negativan PCR test, ne stariji od sedam dana i popune formular koji se može naći na <a href=""https://www.stlucia.org/en/covid-19/pre-arrival-form-for-visitors/"" target=""_blank"">https://www.stlucia.org/en/covid-19/pre-arrival-form-for-visitors/</a>

",05.01.2021.
SENEGAL,✅,"
Državljani Srbije mogu da uđu u Senegal, uz odobrenu vizu, pri čemu je neophodno da poseduju negativni test (PCR test i test krvi), ne stariji od 72 sata. Navedeno važi i za putnike koji provode duže od 24 časa u tranzitu. Putnici u avionu potpisuju izjavu da nemaju simptome virusa i da nisu bili u kontaktu sa zaraženim licima. Postoji i mogućnost da se zbog hitnosti putovanja putnik izuzme od obaveze prethodnog testiranja (PCR test i test krvi), ali to mora da se navede u izjavi koju avio kompanija dostavlja nadležnim vlastima na aerodromima u Senegalu. U tom slučaju, testiranje se vrši aerodromu o trošku putnika.
Ulazak je moguć isključivo letovima avio kompanija Air Senegal i Royal Air Maroc.

",05.01.2021.
SENT VINSENT I GRENADINI,✅🧪,"
Državljani Srbije mogu da uđu u Sent Vinsent i Grenadine uz obavezu da pre puta popune i podnesu formular koji se može naći na <a href=""http://health.gov.vc/health/index.php/covid-19-protocols-documents?fbclid=IwAR17F8szBN_xBI0-rwiJpE7qKD0YX-1LxoFAqlpmaLgeMzSlE_EfCGKQfwk"">http://health.gov.vc/health/index.php/covid-19-protocols-documents?fbclid=IwAR17F8szBN_xBI0-rwiJpE7qKD0YX-1LxoFAqlpmaLgeMzSlE_EfCGKQfwk</a>. Putnici koji imaju negativan PCR test, ne stariji od 48 sati ili negativan test na antitela, ne stariji od 5 dana, ne moraju ići u karantin. Putnici bez testa, moraće da isti urade po dolasku i provedu 24 časa u karantinu do dobijanja rezultata.

",05.01.2021.
SENT KITS I NEVIS,✅🧪,"
Državljani Srbije mogu da uđu u Sent Kits i Nevis. Putnici su u obavezi da popune formular na sajtu <a href=""http://www.covid19.gov.kn"">www.covid19.gov.kn</a>, kao i da dostave negativan PCR test, ne stariji od 72 sata. Putnici se na aerodromu podvrgavaju pregledu i popunjavaju zdravstveni upitnik.
Neophodno je preuzeti aplikaciju na telefonu za praćenje kontakata. Prvih sedam dana boravka se može provesti isključivo u hotelu. Između 7 i 14 dana mora se uraditi novi RCR test o svom trošku, i ukoliko isti bude negativan, omogućava se kretanje van hotelskog kompleksa.

",05.01.2021.
SEVERNA MAKEDONIJA,✅,"
U skladu sa odlukom Vlade, od 12.oktobra državljani Srbije mogu da uđu u Severnu Makedoniju bez posedovanja negativnog PCR testa. Istovremeno, u saopštenju Vlade Severne Makedonije se apeluje da se putovanja svedu na minimum i isključivo za neodložne potrebe.

",05.01.2021.
SEJŠELI,❌,"
Državljani Srbije ne mogu da uđu na Sejšele.

",05.01.2021.
SIJERA LEONE,✅🧪,"
Državljani Srbije mogu da uđu u Sijera Leone uz negativan PCR test, ne stariji od 72 sata, i dozvolu putovanja koja se dobija preko portala Vlade Sijera Leonea (<a href=""http://www.travel.gov.sl"" target=""_blank"">www.travel.gov.sl</a>). Takođe, po dolasku u zemlju su dužni da popune zdravstveni upitnik i prezentuju potvrdu o uplati za novi PCR i RDT test kojima će biti podvrgnuti po dolasku u zemlju.
U slučaju da je RDT test negativan, putnicima je dozvoljeno da napuste aerodrom. U obrnutom slučaju se stavljaju u izolaciju u neki od hotela u gradu Lunđi dok se ne dobiju rezultati PCR testa. Vreme za dobijanje rezultata PCR testa je 48 sati. U slučaju da je PCR test pozitivan zdravstvene vlasti Sijera Leone prinudno upućuju putnika u neki od centara za lečenje.

",05.01.2021.
SINGAPUR,❌,"
Državljani Srbije ne mogu da uđu niti tranzitiraju u Singapur osim lica koja imaju stalnu boravišnu ili radnu dozvolu. Moguće su kratkoročne posete rezidentu Singapura a da ga posećuju supružnik ili deca. Za takvu vrstu poseta je potrebno podneti zahtev, te se stoga savetuje da se prethodno kontaktira najbliža ambasada Singapura.

",05.01.2021.
SIRIJA,❌,"
Državljani Srbije mogu ući u Siriju jedino iz Libana, preko kopnenog GP „Masna"". Za ulazak je neophodan negativan PCR test urađen u državnoj laboratoriji u Bejrutu, ne stariji od 12 sati. Po ulasku u Siriju, neophodna je samoizolacija u trajanju od 5 dana. Državljani Srbije ne mogu tranzitirati kroz Siriju.

",05.01.2021.
SLOVAČKA,✅🧪,"
Državljani Srbije mogu da uđu u Slovačku. Lica koja su tokom prethodnih 14 dana posetila zemlju koja nije na listi manje rizičnih zemalja (lista se može naći na: <a href=""http://korona.gov.sk/ehranica"">http://korona.gov.sk/ehranica</a>) mogu ući pod uslovom poštovanja epidemioloških mera (izolacija u kućnim uslovima, do dobijanja negativnog testa koji se radi najranije petog dana izolacije).
Lica koja su u prethodnih 14 dana boravila u državama EU koje nisu na listi manje rizičnih, u Slovačku mogu ući i bez poštovanja epidemioloških mera, ukoliko imaju negativan PCR test, ne stariji od 72 sata, urađen u laboratoriji koja se nalazi van teritorije Slovačke.
Preko graničnih prelaza sa Ukrajinom mogu ući državljani Srbije koji imaju boravak u Slovačkoj, u rodbinskoj vezi su sa osobom koja boravi u Slovačkoj ili je državljanin Slovačke, kao i lica koja tranzitiraju u drugu državu EU u kojoj imaju dozvolu za boravak.
Pre ulaska na teritoriju Slovačke, neophodno je registrovati se elektronski na: <a href=""http://korona.gov.sk/ehranica"">http://korona.gov.sk/ehranica</a>. Ukoliko državljani Srbije u Slovačku doputuju avio saobraćajem, a u prethodnih 14 dana su posetili državu koja nije na listi manje rizičnih, u obavezi su da se pre putovanja registruju na internet stranicama:
1. <a href=""http://korona.gov.sk/ehranica"">http://korona.gov.sk/ehranica</a>
2. <a href=""https://www.mindop.sk/covid/forms/edit/1e4445fcda2395ad4890058010b20135469f"">https://www.mindop.sk/covid/forms/edit/1e4445fcda2395ad4890058010b20135469f</a>
Moguć je tranzit kroz Slovačku ukoliko se poseduje dozvola za boravak u nekoj od država članica EU. Tranzit može da traje do osam sati. Ostalim licima je neophodna dozvola za tranzit.

",05.01.2021.
SLOVENIJA,✅,"
Državljani Srbije ili lica koja imaju boravak u Srbiji, ukoliko ne dolaze iz zemalja koje su na zelenoj listi, mogu ući u Sloveniju uz obavezni karantin od 10 dana ili posedovanje PCR testa, ne starijeg od 24 sata, urađen u jednoj od zemalja EU ili drugih zemalja Šengenskog prostora. Karantin se može prekinuti ukoliko se posle petog dana uradi PCR test i rezultat bude negativan.
Državljani Srbije mogu ući u Sloveniju bez karantina i negativnog testa u sledećim slučajevima: lice u tranzitu kroz Sloveniju i napušta je najkasnije u roku od 6 sati po ulasku, radni migrant, koji ima boravak u državi Šengenskog prostora, pod uslovom da se vraća u roku od 14 sati od prelaska granice, osoba koja vrši usluge međunarodnog transporta, osoba koja vrši prevoz robe u i iz Slovenije i napušta Sloveniju u roku od 8 sati, predstavnik stranog bezbednosnog organa (policijskog ili pravosudnog) koji vrši službeni zadatak, sa obavezom da odmah nakon izvršenog zadatka napusti Sloveniju, osoba koja je zbog medicinskih razloga došla u Sloveniju sanitetskim vozilom, osobe sa diplomatskim putnim ispravama.
Za tranzit kroz Sloveniju neophodno je posedovanje dokaza o ulasku u državu u koju se lice uputilo (boravišna dozvola, overeno pozivno pismo, rezervacija hotela...) i nije potrebno posedovanje negativnog PCR testa. Tranzit može trajati maksimalno šest sati.
Dodatne informacije se mogu naći u sledećem linku: <a href=""https://www.gov.si/novice/2020-12-23-149-dopisna-seja-vlade-republike-slovenije/"">https://www.gov.si/novice/2020-12-23-149-dopisna-seja-vlade-republike-slovenije/</a>

",05.01.2021.
SOLOMONOVA OSTRVA,❌,"
Svim stranim državljanima, uključujući i državljane Srbije, do daljnjeg je zabranjen ulazak na Solomonova ostrva. Izuzeta su lica sa specijalnim odobrenjem nadležnih organa koja moraju da poseduju dupli negativan PCR test (ne stariji od 7 i 2 dana pre putovanja). Takođe, obavezan je karantin od 14 dana.

",05.01.2021.
SOMALIJA,❌,"
Državljani Srbije ne mogu da uđu u zemlju. Granice i aerodromi su zatvoreni.

",05.01.2021.
"SUDAN, REPUBLIKA",✅,"
Državljani Srbije mogu da uđu ili tranzitiraju kroz Sudan bez testova. Putnici sa simptomima se upućuju u karantin.

",05.01.2021.
SURINAM,❌,"
Državljani Srbije ne mogu da uđu u zemlju. Granice i aerodromi su zatvoreni.

",05.01.2021.
TAJLAND,✅🧪,"
Državljani Srbije mogu da uđu u Kraljevinu Tajland sa turističkom vizom uz ispunjavanje odgovorajućih uslova od kojih je jedan 14-dnevni karantin. Neophodan je negativan PCR test, ne stariji od 72 sata. Takođe, potreban je i Certificate of Entry i drugi dokumenti, tako da je pre putovanja neophodno kontaktirati Počasni konzulat u Beogradu ili najbližu ambasadu Tajlanda.

",05.01.2021.
TANZANIJA,✅,"
Državljani Srbije mogu ulaziti u Tanzaniju. Ukoliko dražava polaska ili avio-kompanija kojom su doputovali traže negativan test kao uslov za putovanje, putnici su obavezni da pokažu rezultate testa prilikom ulaska u Tanzaniju. Svi putnici se detaljno proveravaju po dolasku, a, u slučaju potrebe, može se tražiti da se uradi brzi test.
Strani državljani pod istim uslovima ulaze u Tanzaniju.

",05.01.2021.
TADžIKISTAN,❌,"
Državljani Srbije ne mogu da uđu u Tadzikistan, osim lica koja imaju odobrenje za stalni boravak ili na osnovu prethodno pribavljenog odobrenja nadležnih organa Tadzikistana u slučajevima postojanja bračnih ili rodbinskih veza. Nije potreban negativan test, ali je obavezan 14-to dnevni karantin. Testiranje obavezno samo u slučajevima postojanja simptoma bolesti.

",05.01.2021.
TOGO,✅🧪,"
Državljani Srbije mogu da uđu u Togo. Neophodan je negativan PCR test, ne stariji od pet dana. Po dolasku na aerodrom u Togo putnici se podvrgavaju ponovnom testiranju. Takođe, i pre napuštanja Togoa putnici su dužni da urade PCR test. Troškove oba testa snose putnici. Po dolasku u Togo putnici su u obavezi da instaliraju mobilnu aplikaciju TOGO SAFE, koja mora biti aktivna tokom boravka i najmanje još 30 dana po napuštanju Togoa. U slučaju nepridržavanja ove mere, licu se može odrediti karantin i izreći novčana kazna.

",05.01.2021.
TONGA,❌,"
Svim stranim državljanima, uključujući i državljane Srbije, do daljnjeg je zabranjen ulazak u zemlju.

",05.01.2021.
TUVALU,❌,"
Svim stranim državljanima, uključujući i državljane Srbije, do daljnjeg je zabranjen ulazak u zemlju.

",05.01.2021.
TUNIS,✅🧪,"
Državljani Srbije mogu da uđu u Tunis. Neophodan je negativan PCR test, ne stariji od 72 sata. Po ulasku u Tunis, obavezan je karantin u trajanju od dve sedmice u hotelu određenom za tu namenu i o trošku putnika.

",05.01.2021.
TURSKA,✅🧪,"
Državljani Srbije mogu ući u Tursku. Neophodan je negativan PCR test za sva lica starija od od šest godina. Test ne treba da bude stariji od 72 sata. Test je obavezan i za lica koja su u tranzitu.
U slučaju da putnik ne poseduje negativan PCR test, obavezan je karantin na adresi koja se prijavi kao mesto boravka. Ukoliko se ne poseduje adresa boravka, mesto karantina će utvrditi nadležna zdravstvena uprava. Sedmog dana karantina se lica testiraju i ukoliko rezulat bude negativan karantin se prekida.

",05.01.2021.
TURKMENISTAN,❌,"
Državljani Srbije ne mogu da uđu u zemlju. Granice i aerodromi su zatvoreni.

",05.01.2021.
TRINIDAD I TOBAGO,❌,"
Državljani Srbije ne mogu da uđu u zemlju. Granice i aerodromi su zatvoreni.

",05.01.2021.
UGANDA,✅🧪,"
U Ugandu mogu da uđu državljani Srbije. Neophodan je negativan PCR test, ne stariji od 120 sati.

",05.01.2021.
UJEDINjENI ARAPSKI EMIRATI,✅🧪,"
Državljani Srbije mogu da uđu u UAE. Neophodan je negativan PCR test, ne stariji od 48 sati (za sve emirate osim za Abu Dabi). Dvostruko testiranje (PCR-test), pre putovanja i po dolasku u UAE nije više obavezno za UAE rezidente, turiste i tranzitne turiste koji dolaze iz 60-tak zemalja, uključujući Srbiju. Oni imaju mogućnost da se testiraju u Srbiji (test ne stariji od 48 sati) ili po sletanju na Dubai aerodrom. Nalaz testa sa aerodroma se dobija u roku od jednog do dva dana na mobilni telefon. U emiratu Dubai je obavezna samoizolacija do dobijanja rezultata testa sa aerodroma. Praćenje pridržavanja mere samoizolacije se obavlja preko mobilnog telefona (obavezna instalacija Al Hosn aplikacije).
Za ulazak u Abu Dabi je neophodan PCR test, ne stariji od 72 sata. Putnici iz zemalja koje su na ''zelenoj listi'' i imaju negativan test nemaju obavezu karantina. Za putnike iz ostalih zemalja je obavezan karantin u trajanju od 10 dana i nošenje GPS narukvice. Po dolasku u Abu Dabi na aerodromu se radi dodatno PCR testiranje. Za one koji ostaju u Abu Dabiju duže od 6 dana neprekidno, obavezan je PCR test šestog dana i još jedan dvanaestog dana. Lista zemalja na zelenoj listi se može naći u sledećem linku: https://visitabudhabi.ae/en/plan-your-trip/covid-safe-travel/permitted-countries
Specifičnost UAE je da između emirata Abu Dabi i Dubai postoji kontrolni punkt koji se ne može preći bez negativnog nalaza PCR ili DPI testa. Takođe, svi nerezidenti i rezidenti UAE, koji preko Dubai aerodroma dođu u UAE i nastave kopnom ka Abu Dabiju, na punktu će dobiti narukvicu kojom se prati obavezna samoizolacija u trajanju od 10 dana. Više informacija o režimu ulaska u Abu Dabi se može naći u sldećem linku: <a href=""https://visitabudhabi.ae/en/plan-your-trip/covid-safe-travel"">https://visitabudhabi.ae/en/plan-your-trip/covid-safe-travel</a>
",05.01.2021.
UKRAJINA,✅🧪,"
Državljani Srbije mogu da uđu u Ukrajinu. Neophodna je polisa zdravstvenog osiguranja izdata od strane osiguravajuće kompanije registrovane u Ukrajini ili osiguravajuće kompanije koja ima predstavništvo ili ugovorne odnose sa osiguravajućom kompanijom – partnerom na teritoriji Ukrajine. Polisa mora da pokriva troškove lečenja COVID-19 i da važi sve vreme boravka u Ukrajini. Lica koja imaju stalni boravak u Ukrajini su izuzeta od posedovanja polise zdravstvenog osiguranja.
Postoji obaveza samoizolacije za sva lica koja dolaze u Ukrajinu iz zemalja sa značajnom aktivnošću virusa COVID-19, uključujući i Srbiju. Osobe koje podležu samoizolaciji u obavezi su da instaliraju i aktiviraju mobilnu aplikaciju „Diй vdoma"". Od samoizolacije su izuzeta lica koja poseduju negativan PCR test, ne stariji od 48 sati, deca mlađa od 12 godina, diplomate i članovi njihovih porodica, osobe koje dolaze u svrhu obuke u ustanovama za visoko obrazovanja, osobe koje su državljani zemalja sa značajnom aktivnošću virusa COVID-19 i nisu se nalazile na teritoriji tih država poslednjih 14 dana ili koje tranzitiraju preko teritorije Ukrajine i imaju dokumenta koja potvrđuju izlazak iz zemlje u periodu od 48 sati, vozači i članovi posada teretnih vozila i autobusa, koji obavljaju redovni prevoz, članove posada vazdušnih, pomorskih i rečnih brodova, članovi voznih i železničkih konvoja, javni radnici u oblasti kulture sa pozivom kulturne institucije.
Ulazak i izlazak sa teritorije Donjecka, Luganska, Krima i Sevastopolja podrazumeva da strani državljani poseduju polisu zdravstvenog osiguranja na troškove lečenja od COVID-19.
",05.01.2021.
URUGVAJ,❌,"
Državljani Srbije ne mogu ući u Urugvaj. Do daljnjeg, ne mogu ući u zemlju ni državljani Urugvaja ni strani državljani.

",05.01.2021.
FILIPINI,❌,"
Državljani Srbije ne mogu da uđu niti tranzitiraju na Filipine osim supružnika i dece filipinskih državljana i nosioca boravišne dozvole. Prilikom dolaska podleže se medicinskoj evaluaciji i vrsti karantina koji bude određen. Pre putovanja, potrebno je kontaktirati najbližu ambasadu Filipina.

",05.01.2021.
FINSKA,❌,"Državljani Srbije ne mogu da uđu u Finsku, osim lica koja imaju regulisan boravak. Tranzit je dozvoljen na aerodromima.
Dozvoljen je ulazak u Finsku licima sa stalnim boravkom, članovima porodica i emotivnim partnerima finskih državljana (bez obzira na državljanstvo), kao i licima koja dolaze iz određenog broja evropskih i trećih država (samo esencijalna i putovanja vezana za posao u slučaju trećih zemalja).
Samoizolacija u trajanju od 10 dana se preporučuje svim licima koja doputuju u Finsku iz rizičnih područja. Putnici mogu, ukoliko žele, da skrate period samoizolacije obavljajući dva PCR testa (prvi najkasnije 72 sata pre putovanja, drugi nakon tri dana samoizolacije po dolasku u Finsku). Ukoliko je boravak u Finskoj kraći od 72 sata, samoizolacija i drugi test nisu potrebni. Detaljne informacije dostupne su na: <a href=""https://thl.fi/en/web/infectious-diseases-and-vaccinations/what-s-new/coronavirus-covid-19-latest-updates/travel-and-the-coronavirus-pandemic#Instructions_for_travellers_and_employees_arriving_in_Finland"">https://thl.fi/en/web/infectious-diseases-and-vaccinations/what-s-new/coronavirus-covid-19-latest-updates/travel-and-the-coronavirus-pandemic#Instructions_for_travellers_and_employees_arriving_in_Finland</a>.

",05.01.2021.
FIDžI,✅🧪,"
Državljani Srbije mogu da uđu u Fidzi. Neophodan je negativan PCR test, ne stariji od 48 sati. Takođe, obavezan je karantin od 14 dana.

",05.01.2021.
FRANCUSKA,❌,"
Državljanima Srbije koji nemaju regulisan boravak u Francuskoj ili u nekoj od zemalja EU, nije dozvoljen ulazak na teritoriju Francuske. Tranzit preko aerodroma u Francuskoj je moguć samo ukoliko ne podrazumeva napuštanje međunarodne zone i ukoliko ne traje duže od 24 sata. Za putnike koji dolaze iz Srbije, obavezan je negativan PCR test ne stariji od 72 sata (osim za decu mlađu od 11 godina). Ukoliko putnik nema negativan PCR test, predviđeno je obavezno testiranje na aerodromu pre ulaska u Francusku.
Izuzetno može biti dozvoljen ulazak za putnike iz Srbije koji dolaze u Francusku radi vršenja osnovne profesionalne aktivnosti, studija, nastavne aktivnosti ili iz medicinskih razloga. Za dobijanje specijalne dozvole za ulazak u Francusku, nadležna je Ambasada Francuske u Beogradu.
Za više informacija o aktuelnom režimu ulaska u Francusku, posetite internet stranicu Ambasade Srbije u Parizu: <a href=""http://www.paris.mfa.gov.rs/"">http://www.paris.mfa.gov.rs/</a>
",05.01.2021.
HAITI,✅,"
Državljani Srbije mogu da uđu u Republiku Haiti. Neophodan je negativan test, ne stariji od 72 časa. Kopnena granica sa Dominikanskom Republikom je zatvorena.

",05.01.2021.
HOLANDIJA,❌,"
Državljani Srbije ne mogu da ulaze u Holandiju ukoliko nemaju regulisan boravak ili ukoliko ne potpadaju pod neki od izuzetaka od zabrane ulaska u Holandiju. Licima koja potpadaju pod izuzetak od zabrane putovanja i koja dolaze iz Srbije se savetuje da budu u kućnom karantinu u trajanju od 10 dana.
Tranzit je dozvoljen.
Dozvoljava se ulazak licima koja imaju neodložnu i hitnu potrebu da posete svoje porodice (neizlečiva bolest ili u slučaju sahrane), osobama kojima je potrebna međunarodna zaštita, osobama koje se primaju iz humanitarnih razloga, studentima, visoko obrazovanim migrantima i osobama koje su u emotivnoj vezi sa holandskim državljanima.
Od 29. decembra 2020. godine lica koja dolaze avionom u Holandiju moraju da poseduju negativan test, ne stariji od 72 sata. Potrebno je da to bude molekularni PCR test i test na Sars-Cov-2/COVID-19. Drugi tipovi testa, uključujući brzi test, se ne prihvataju. Navedena odluka se odnosi na sve osobe (starije od 13 godina) koje dolaze avionom u Holandiju iz oblasti koje su definisane kao visoko rizične po pitanju širenja virusa, što trenutno obuhvata gotovo sve zemlje Evrope i sveta. Negativan test je obavezan i za holandske državljane i državljane EU, a odnosi se i na putovanja izvan teritorije EU u Holandiju, kao i na putovanja iz ostalih država EU u Holandiju.
Odluka o obavezi posedovanja negativnog testa se ne odnosi na ulazak u Holandiju kopnenim putem.
Dodatne informacije o proceduri ulaska i izuzecima od zabrane putovanja mogu se naži u sledežem linku: <a href=""https://www.government.nl/topics/coronavirus-covid-19/tackling-new-coronavirus-in-the-netherlands/travel-and-holidays/visiting-the-netherlands"">https://www.government.nl/topics/coronavirus-covid-19/tackling-new-coronavirus-in-the-netherlands/travel-and-holidays/visiting-the-netherlands</a>
",05.01.2021.
HONDURAS,✅🧪,"
Državljani Srbije mogu da uđu u Honduras. Neophodan je negativan PCR test, ne stariji od 72 sata, ili negativan brzi kovid test. Takođe, potrebno je registrovati se u imigracionom institutu (<a href=""https://prechequeo.inm.gob.hn/Login"" target=""_blank"">https://prechequeo.inm.gob.hn/Login</a>).

",05.01.2021.
HRVATSKA,✅,"
Državljani Srbije mogu da uđu u Hrvatsku ukoliko imaju regulisan boravak uz obavezan zdravstveni nadzor, 14-dnevnu samoizolaciju/karantin. Ova mera se može skratiti na sedam dana ako lice o svom trošku uradi test po ulasku u Hrvatsku i isti bude negativan.
Lica koja putuju zbog turističkih ili drugih privrednih interesa, školovanja, neodložnih razloga (npr. vlasnici nekretnina u Hrvatskoj) ili drugih ličnih neodložih razloga, mogu ući u Hrvatsku bez obaveze samoizolacije uz posedovanje negativnog testa, ne starijeg od 48 sati.
Za lica u tranzitu nije poterban test ali je neophodan dokaz da je odobren ulazak u sledeću zemlju. Tranzit ne sme biti duži od 12 sati.
Državljani zemalja EU i Šengena mogu ulaziti u Hrvatsku.

",05.01.2021.
CENTRALNOAFRIČKA REPUBLIKA,✅,"
Državljani Srbije mogu sa važećom vizom da uđu u Centralnoafričku Republiku ili tranzitiraju. Nije potrebno testiranje.

",05.01.2021.
CRNA GORA,✅,"
Državljani Srbije mogu ući u Crnu Goru uz posedovanje negativanog PCR testa na SARS-COV-2, ne stariji od 72 sata. Obaveza posedovanja testa ne odnosi se na decu do navršene pete godine života.
Omogućen je tranzit rezidenata susednih država kroz Crnu Goru (tranzit rezidenata BiH, Srbije i Albanije). Tranzit se omogućava bez zadržavanja u Crnoj Gori uz kontrolu vremena ulaska i izlaska iz Crne Gore.
Detalji u vezi sa ulaskom stranih državljana u Crnu Goru se mogu naći u sledećem linku:<a href=""https://www.gov.me/naslovna"">https://www.gov.me/naslovna
</a>
",05.01.2021.
ČAD,❌,"
Državljani Srbije ne mogu da uđu u zemlju. Granice i aerodromi su zatvoreni.

",05.01.2021.
ČEŠKA REPUBLIKA,❌,"
Državljni Srbije ne mogu da uđu u Češku Republiku osim lica sa regulisanim boravakom. Izuzetak su određene kategorije lica kao što su: članovi porodice čeških državljana; ako je ulazak u interesu Češke; hitne situacije – unapred zakazana medicinska intervencija, odazivanje na poziv državnog organa; tranzit kroz Češku; radnici u međunarodnom transportu; diplomate akreditovane u Češkoj i članovi njihovih porodica; kao i partneri čeških državljana.
Sva lica koja su u prethodnih 14 dana provela više od 12 sati u nekoj od zemalja koje nisu na listi zemalja sa niskim rizikom od COVID-19, dužna su da se pre ulaska u Češku, prijave nadležnom regionalnom zavodu za javno zdravlje, slanjem popunjenog formulara koji se može preuzeti putem sledećeg linka <a href=""https://plf.uzis.cz/"">https://plf.uzis.cz/</a>. Kopiju navedenog formulara dužna su da prezentuju prilikom kontrole na granici, kao i sve vreme boravka u Češkoj. U roku od 5 dana od dana ulaska u Češku dužna su da se testiraju i ograniče svoje kretanje.

",05.01.2021.
ČILE,✅🧪,"
Državljani Srbije mogu ući u Čile.
Strani državljani koji nemaju stalni boravak u Čileu mogu ući u zemlju vazdušnim putem sa sletanjem isključivo na međunarodni aerodrom Arturo Merino Benitez u blizini Santjaga. Uslov za ukrcavanje u avion je negativan PCR test, ne stariji od 72 sata. Obavezno je zdravstveno osiguranje kojim je pokriveno i lečenje od COVID-19 i koje nije ispod vrednosti od 30.000 američkih dolara. Prilikom sletanja u Čile popunjavaju se odgovarajući formulari, uključujući tzv. formular o praćenju kretanja, čiji sadržaj se može naći na sledećoj veb stranici <a href=""https://www.c19.cl/formularios.html"">https://www.c19.cl/formularios.html</a>. Strani državljani koji dolaze iz zemalja koje se, u datom trenutku, nalaze u kategoriji „Community Transmission"" na listi Svetske zdravstvene organizacije (<a href=""https://covid19.who.int/table"" target=""_blank"">https://covid19.who.int/table</a>), podležu obaveznom karantinu od 14 dana.
Državljani Čilea kao i strani državljani koji imaju stalni boravak podležu obaveznom karantinu od 14 dana, samo ukoliko nisu uradili testiranje pre puta ili po dolasku u Čile.

",05.01.2021.
DžIBUTI,✅🧪,"
Državljani Srbije mogu da uđu u Džibuti. Neophodan je negativan PCR test. Po dolasku u Džibuti radi se i brzi test.

",05.01.2021.
ŠVAJCARSKA,❌,"
Državljani Srbije ne mogu da uđu u Švajcarsku Konfederaciju, osim lica koja imaju regulisani boravak. Od 14. decembra 2020. obavezan je desetodnevni karantin za državljane Srbije sa regulisanim boravkom u Švajcarskoj.
Tranzit je dozvoljen za lica koja poseduju regulisan boravak u odredišnoj zemlji u šengenskom prostoru. U tom slučaju, potrebno je staviti na uvid dokaz o nameri i mogućnosti ulaska u tu zemlju. Ukoliko je odredišna država u šengenskoj zoni odobrila boravak do 90 dana, dotično lice mora ući u šengensku zonu putujući direktno u tu zemlju.
Državljani Srbije koji borave u nekoj od šengenskih zemalja mogu da uđu u Švajcarsku. Neophodno je prethodno proveriti na sajtu Ministarstva zdravlja Švajcarske, da li se zemlja ili područje iz koje se dolazi nalazi na spisku zemalja i regiona sa povećanim stepenom zaraze od korona virusa, odnosno da li zbog toga postoji ograničenje u pogledu ulaska u Švajcarsku.

",05.01.2021.
ŠVEDSKA,❌,"
Državljani Srbije ne mogu da uđu u Švedsku. Izuzetak su lica koja imaju regulisan boravak. Pogranični organi su ovlašćeni za izricanje mera karantina ukoliko procene da je potrebno.
Stranim državljanima nije dozvoljen ulazak u Švedsku. Zabrana ulaska se ne odnosi na državljane članica EU, državljane UK, Norveške, Islanda, Lihtenštajna, Andore, Monaka, San Marina, Švajcarske i Vatikana, kao i Australije, Kanade, Gruzije, Japana, Novog Zelanda, Ruande, Južne Koreje, Tajlanda, Tunisa i Urugvaja.
Zabrana se ne odnosi ni na putnike u tranzitu.

",05.01.2021.
